inspection_id,equipment_id,equipment_type,unit_area,inspection_date,operating_hours,days_since_last_inspection,vibration_level,temperature_c,noise_db,oil_pressure_bar,battery_voltage,warning_count,maintenance_history_count,status_label
INS-0001,EQ-GEN-001,generator,training_support,2026-06-01,118,6,0.18,52.4,61.2,4.8,24.6,0,1,normal
INS-0002,EQ-GEN-002,generator,training_support,2026-06-01,242,14,0.36,64.8,68.1,4.3,24.1,1,2,caution
INS-0003,EQ-GEN-003,generator,training_support,2026-06-02,391,28,0.72,82.5,79.4,3.5,22.8,4,5,needs_inspection
INS-0004,EQ-COM-001,communication,command_post,2026-06-02,84,5,0.10,38.6,45.8,5.0,25.1,0,0,normal
INS-0005,EQ-COM-002,communication,command_post,2026-06-03,176,11,0.27,47.2,53.3,4.7,24.3,1,1,normal
INS-0006,EQ-COM-003,communication,command_post,2026-06-03,288,19,0.51,58.4,66.9,4.1,23.2,2,3,caution
INS-0007,EQ-VEH-001,vehicle,transport,2026-06-04,135,8,0.31,57.9,70.4,4.5,24.0,1,2,normal
INS-0008,EQ-VEH-002,vehicle,transport,2026-06-04,326,22,0.63,75.7,82.1,3.8,23.0,3,4,caution
INS-0009,EQ-VEH-003,vehicle,transport,2026-06-05,457,34,0.81,91.2,88.6,3.1,21.9,5,6,needs_inspection
INS-0010,EQ-PMP-001,pump,maintenance,2026-06-05,96,4,0.16,49.8,58.2,4.9,24.7,0,1,normal
INS-0011,EQ-PMP-002,pump,maintenance,2026-06-06,213,13,0.42,66.3,71.5,4.2,23.7,2,2,caution
INS-0012,EQ-PMP-003,pump,maintenance,2026-06-06,376,26,0.76,86.9,84.7,3.3,22.1,4,5,needs_inspection
INS-0013,EQ-GEN-004,generator,training_support,2026-06-07,154,9,0.24,55.0,63.7,4.6,24.5,0,1,normal
INS-0014,EQ-GEN-005,generator,training_support,2026-06-07,269,17,0.49,70.1,73.2,4.0,23.6,2,3,caution
INS-0015,EQ-GEN-006,generator,training_support,2026-06-08,421,31,0.88,89.5,86.2,3.0,21.7,6,7,needs_inspection
INS-0016,EQ-COM-004,communication,command_post,2026-06-08,72,3,0.08,36.9,44.2,5.1,25.3,0,0,normal
INS-0017,EQ-COM-005,communication,command_post,2026-06-09,231,15,0.35,51.7,57.9,4.5,24.0,1,2,caution
INS-0018,EQ-COM-006,communication,command_post,2026-06-09,339,24,0.66,69.3,72.8,3.7,22.9,3,4,caution
INS-0019,EQ-VEH-004,vehicle,transport,2026-06-10,112,7,0.22,54.4,67.0,4.7,24.4,0,1,normal
INS-0020,EQ-VEH-005,vehicle,transport,2026-06-10,298,20,0.58,73.6,80.5,3.9,23.3,2,3,caution
INS-0021,EQ-VEH-006,vehicle,transport,2026-06-11,482,37,0.92,94.8,91.6,2.9,21.5,7,8,needs_inspection
INS-0022,EQ-PMP-004,pump,maintenance,2026-06-11,128,6,0.19,50.7,59.1,4.8,24.8,0,1,normal
INS-0023,EQ-PMP-005,pump,maintenance,2026-06-12,256,16,0.46,68.2,74.0,4.0,23.5,2,3,caution
INS-0024,EQ-PMP-006,pump,maintenance,2026-06-12,405,29,0.79,87.4,85.9,3.2,22.0,5,6,needs_inspection
INS-0025,EQ-GEN-007,generator,training_support,2026-06-13,141,8,0.21,53.8,62.8,4.7,24.6,0,1,normal
INS-0026,EQ-GEN-008,generator,training_support,2026-06-13,318,23,0.61,77.2,78.6,3.6,22.7,3,4,caution
INS-0027,EQ-GEN-009,generator,training_support,2026-06-14,444,33,0.84,90.6,87.9,3.1,21.8,6,7,needs_inspection
INS-0028,EQ-COM-007,communication,command_post,2026-06-14,101,5,0.12,39.5,47.4,5.0,25.0,0,0,normal
INS-0029,EQ-COM-008,communication,command_post,2026-06-15,207,12,0.33,49.9,56.3,4.6,24.1,1,1,normal
INS-0030,EQ-COM-009,communication,command_post,2026-06-15,351,25,0.69,71.5,75.2,3.6,22.6,4,5,needs_inspection
INS-0031,EQ-VEH-007,vehicle,transport,2026-06-16,164,10,0.29,59.1,71.0,4.4,24.0,1,2,normal
INS-0032,EQ-VEH-008,vehicle,transport,2026-06-16,287,18,0.54,72.4,79.1,3.9,23.4,2,3,caution
INS-0033,EQ-VEH-009,vehicle,transport,2026-06-17,433,32,0.86,88.7,86.5,3.1,22.0,5,6,needs_inspection
INS-0034,EQ-PMP-007,pump,maintenance,2026-06-17,90,4,0.14,48.1,57.6,4.9,24.9,0,0,normal
INS-0035,EQ-PMP-008,pump,maintenance,2026-06-18,238,15,0.44,67.5,73.8,4.1,23.8,2,2,caution
INS-0036,EQ-PMP-009,pump,maintenance,2026-06-18,399,30,0.83,88.8,86.9,3.0,21.9,5,6,needs_inspection
INS-0037,EQ-GEN-010,generator,training_support,2026-06-19,126,7,0.20,54.0,62.1,4.8,24.7,0,1,normal
INS-0038,EQ-GEN-011,generator,training_support,2026-06-19,276,19,0.52,72.9,76.4,3.8,23.0,2,3,caution
INS-0039,EQ-GEN-012,generator,training_support,2026-06-20,468,36,0.91,93.1,90.2,2.8,21.4,7,8,needs_inspection
INS-0040,EQ-COM-010,communication,command_post,2026-06-20,94,6,0.11,37.8,46.2,5.1,25.2,0,0,normal
INS-0041,EQ-COM-011,communication,command_post,2026-06-21,226,16,0.39,55.2,60.6,4.3,23.9,1,2,caution
INS-0042,EQ-COM-012,communication,command_post,2026-06-21,365,27,0.73,74.8,77.5,3.4,22.3,4,5,needs_inspection
INS-0043,EQ-VEH-010,vehicle,transport,2026-06-22,149,9,0.28,58.0,69.6,4.5,24.2,1,2,normal
INS-0044,EQ-VEH-011,vehicle,transport,2026-06-22,311,21,0.60,76.1,81.3,3.7,23.1,3,4,caution
INS-0045,EQ-VEH-012,vehicle,transport,2026-06-23,491,39,0.95,96.4,92.0,2.7,21.2,8,9,needs_inspection
INS-0046,EQ-PMP-010,pump,maintenance,2026-06-23,132,7,0.18,51.5,58.9,4.8,24.8,0,1,normal
INS-0047,EQ-PMP-011,pump,maintenance,2026-06-24,264,18,0.48,69.4,74.9,3.9,23.3,2,3,caution
INS-0048,EQ-PMP-012,pump,maintenance,2026-06-24,417,31,0.82,89.0,87.1,3.1,21.8,6,7,needs_inspection
INS-0049,EQ-GEN-013,generator,training_support,2026-06-25,109,5,0.17,51.8,60.4,4.9,24.9,0,1,normal
INS-0050,EQ-GEN-014,generator,training_support,2026-06-25,302,22,0.57,75.9,77.8,3.8,23.1,3,4,caution
INS-0051,EQ-GEN-015,generator,training_support,2026-06-26,452,35,0.89,92.0,88.8,2.9,21.6,6,8,needs_inspection
INS-0052,EQ-COM-013,communication,command_post,2026-06-26,88,4,0.09,37.2,45.1,5.1,25.2,0,0,normal
INS-0053,EQ-COM-014,communication,command_post,2026-06-27,245,17,0.41,56.8,62.4,4.2,23.7,2,2,caution
INS-0054,EQ-COM-015,communication,command_post,2026-06-27,382,28,0.74,76.6,78.3,3.3,22.2,4,5,needs_inspection
INS-0055,EQ-VEH-013,vehicle,transport,2026-06-28,158,10,0.30,58.7,70.1,4.4,24.1,1,2,normal
INS-0056,EQ-VEH-014,vehicle,transport,2026-06-28,333,24,0.64,78.5,83.0,3.6,22.8,3,5,caution
INS-0057,EQ-VEH-015,vehicle,transport,2026-06-29,476,38,0.93,95.1,91.2,2.8,21.3,7,8,needs_inspection
INS-0058,EQ-PMP-013,pump,maintenance,2026-06-29,104,6,0.15,49.0,57.9,4.9,24.9,0,1,normal
INS-0059,EQ-PMP-014,pump,maintenance,2026-06-30,281,20,0.53,70.8,75.6,3.8,23.2,3,4,caution
INS-0060,EQ-PMP-015,pump,maintenance,2026-06-30,439,34,0.87,90.3,88.1,3.0,21.7,6,7,needs_inspection
